ISO_Code,Language_Name,GB020,GB021,GB022,GB023,GB024,GB025,GB026,GB027,GB028,GB030,GB031,GB035,GB036,GB037,GB038,GB039,GB041,GB042,GB043,GB044,GB046,GB047,GB048,GB049,GB051,GB052,GB053,GB054,GB057,GB058,GB059,GB065,GB068,GB069,GB070,GB071,GB072,GB073,GB074,GB075,GB079,GB080,GB081,GB082,GB083,GB084,GB086,GB089,GB090,GB091,GB092,GB093,GB094,GB095,GB096,GB098,GB099,GB103,GB104,GB105,GB107,GB108,GB109,GB110,GB111,GB113,GB114,GB115,GB116,GB117,GB118,GB119,GB120,GB121,GB122,GB123,GB124,GB126,GB127,GB129,GB130,GB131,GB132,GB133,GB134,GB135,GB136,GB137,GB138,GB139,GB140,GB146,GB147,GB148,GB149,GB150,GB151,GB152,GB155,GB156,GB158,GB159,GB160,GB165,GB166,GB167,GB170,GB171,GB172,GB177,GB184,GB185,GB186,GB187,GB188,GB192,GB193,GB196,GB197,GB198,GB203,GB204,GB250,GB252,GB253,GB254,GB256,GB257,GB260,GB262,GB263,GB264,GB265,GB266,GB270,GB273,GB275,GB276,GB285,GB286,GB291,GB296,GB297,GB298,GB299,GB300,GB301,GB302,GB303,GB304,GB305,GB306,GB309,GB312,GB313,GB314,GB315,GB316,GB317,GB318,GB319,GB320,GB321,GB322,GB323,GB324,GB325,GB326,GB327,GB328,GB329,GB330,GB331,GB333,GB334,GB335,GB336,GB400,GB401,GB402,GB403,GB408,GB409,GB410,GB415,GB421,GB422,GB430,GB431,GB432,GB433,GB519,GB520,GB521,GB522
bsk,Burushaski,0,0,0,1,1,1,,1,0,1,0,0,0,0,0,1,1,0,0,1,,1,1,,1,,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,,1,,,,,,1,0,0,,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,,1,1,,1,1,1,0,0,,1,1,0,0,1,1,0,1,1,,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,,0,0,,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,
con,Cofán,1,,,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,1,1,,0,0,0,0,0,0,0,3,,0,1,1,1,1,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,,,,1,,,0,0,,1,,,,,,1,,0,1,0,0,1,1,1,1,1,0,,0,,,,0,1,1,1,1,,1,,1,0,0,0,0,0,0,0,,1,0,1,1,0,3,0,0,0,1,,,,,1,,0,0,0,0,0,,,,,,,0,1,0,,0,0,0,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,1,0,1,0,1,1,1,,,0,0,0,0,0,,,,1,0,0,0,,1,0,0,1,0,,,,1
ule,Lule,0,0,0,0,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,1,,0,1,0,0,1,,,1,1,0,1,,,0,0,0,,,,,,1,0,,0,0,,0,0,0,0,0,,0,0,0,0,2,0,0,0,2,,,,,,,,,,,,1,0,0,0,0,0,,,,,,0,1,0,,0,0,0,,,1,1,0,0,0,0,0,1,0,0,0,,,0,,0,0,0,1,1,0,1,0,0,0,0,,,0,0,0,1,0,1,,0,0,0,1,,,,
sua,Sulka,1,1,1,0,2,2,0,1,0,0,1,0,1,0,0,1,1,0,0,1,,1,1,1,,,,,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,,,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,,0,0,,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas,Mosetén-Chimané,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,,1,0,,0,0,0,0,0,,1,0,0,0,0,0,,1,0,0,1,0,,0,1,0,1,0,1,1,0,0,1,1,1,,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,1,,0,,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,,0,1,1,0,0,,,1,1,0,0,1,0,0,0,0,0,0,1,,,1,1
tiw,Tiwi,0,0,0,0,3,3,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caz,Canichana,,,,,,,,,0,0,0,,,,,,,0,0,1,,,,,0,0,0,0,,,,,,0,,,,,,1,,,,,,,,0,1,0,1,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,3,1,1,0,,,,0,1,,,,,,,,,,,,,,,0,0,,0,,0,,,,,,,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,0,0,0,0,,,,,,,,,,,,1,,,,,,1
sux,Sumerian,0,0,0,0,2,2,,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,,,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,0,2,0,0,0,,,,,,,,,,,,,1,0,0,0,0,0,,,0,1,,0,1,0,0,0,0,1,1,0,0,0,0,,,0,0,,0,,0,0,0,0,,1,1,0,,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
yuz,Yuracaré,,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,,1,,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1,,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,,0,,0,0,0,,,0,0,,0,3,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,1,,0,0,0,0,0,0,,1,,,0,0,0,1,0,0,1,0,,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
lvk,Lavukaleve,1,0,0,1,2,2,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,2,0,0,1,1,0,,,,,1,0,0,0,1,1,,,,,1,,0,0,0,,0,0,1,0,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,0,1,0,0,0,0,0,1
lec,Leco,0,1,1,0,1,1,0,,0,0,0,1,0,0,0,0,,0,0,1,,1,1,,0,0,0,0,0,0,1,1,,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,,,0,1,0,1,0,0,0,0,0,0,,0,0,1,1,0,1,0,1,1,,0,0,0,0,,0,,0,0,0,,0,0,1,,1,1,1,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,,,,,,,0,0,0,0,0,0,0,1,1,0,,0,,0,,0,0,0,,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,1,0,0,0,,,,0,0,0,0,,,0,1,1,0,0,0,0,1
akc,Mpur,0,0,0,0,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,,,,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
grx,Muno,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,1,,,,0,0,1,0,,,,
xcw,Coahuilteco,1,,,1,2,2,0,1,0,0,0,1,0,0,0,0,,0,0,1,,,,,0,0,1,0,0,0,0,1,1,0,0,0,1,,0,1,1,1,1,0,,0,1,0,1,0,1,1,1,0,0,0,0,0,,1,1,,1,0,1,1,,,0,1,,,,,,,0,,,0,1,0,0,1,1,1,1,1,1,,,,,,1,0,0,,1,0,0,0,0,0,0,0,,0,1,0,,,1,,,0,,0,0,0,1,,,,,,,0,0,0,1,0,,,,,,,1,,0,,0,0,0,,0,,,,,,,1,0,0,0,0,0,1,0,0,0,,,0,,0,1,,0,0,0,,0,,0,0,,,,0,0,1,0,,,0,1,0,0,,1,1,1
aes,Alsea-Yaquina,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,,0,0,1,,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,,1,1,1,1,0,1,0,1,,1,0,1,0,1,1,0,0,0,0,,1,,0,1,1,1,0,1,1,1,0,1,,0,0,0,,1,0,,,0,1,0,0,1,,,0,0,1,1,0,,1,,,,,,1,0,1,1,1,0,0,0,0,0,0,,,,,1,1,0,1,0,0,0,1,1,1,,,,,,,,,,1,0,0,0,1,0,,1,0,,0,,1,0,1,0,0,0,1,,0,1,1,0,0,0,0,0,0,0,0,,,0,1,0,,,,,,1,1,0,0,,0,0,0,1,0,1,0,,,0,0,0,1,0,0,0,
sif,Siamou,1,0,1,1,2,1,,,0,0,0,,,,0,0,0,0,0,,0,1,,,0,0,0,0,,0,1,1,,,0,0,0,0,0,1,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,1,,,,,,,0,,,0,1,0,0,1,1,0,1,1,0,1,1,,0,0,0,1,,0,,,,,1,0,0,1,0,0,0,0,0,0,0,1,,0,2,0,0,0,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,1,0,,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
gdm,Laal,1,1,0,1,2,2,0,,1,1,0,0,0,0,0,1,1,1,0,1,,1,,,1,0,0,0,,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,,,0,,,0,0,0,,0,0,,,0,1,0,1,0,1,1,1,1,0,,,,1,,0,,,0,1,,0,0,,0,0,,0,,1,0,1,,0,,,0,2,0,1,,,,0,0,0,0,1,,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,1,1,,0,,0,,,0,,1,0,0,0,0,0,0,0,0,0,1,0,,1,1,0,0,0,0,1,1,0,0,0,1,,,0,0,1,0,,,0,0,0,1,1,1,1,1
svs,Savosavo,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,,1,,,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0
tbd,Kaki Ae,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,0,0,0,1,0,,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,,,1,0,0,0,0,0,0,,,0,0,,0,0,0,,,,,1,0,1,0,0,1,1,,1,0,0,1,0,,,,,0,0,1,,,0,0,0,0,0,0,0,0,0,,1,0,0,,,,2,0,0,0,,,,,,1,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,1,,,,,,,,0,1,0,,,0,0,0,0,0,,,,0,,1,0,1,0,0,0,,,,,,,0,0,0,1,1,,,,0,0,1,0,0,0,0,1
pui,Puinave,,,,,,1,,,,0,,0,,,,,,,,,,1,1,1,,,,,,0,,1,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,0,0,,,,,,,1,,,,1,,1,,,,,1,0,0,,,0,,,1,,,,,,0,0,0,1,,,,,,,,0,,,,,,,,,,3,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,,,,,,0,,1,,,,,,,0,,,,1,1,,,0,1,1,,,,,,,,,,,,1,1,,,,,0,1,0,0,,,,
tkm,Takelma,0,0,0,0,2,1,0,,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,,,1,0,0,0,0,1,1,0,1,0,1,0,0,,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,1,,,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,1,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,1,1,1,0,1
sad,Sandawe,1,0,,1,2,3,,,0,1,0,0,0,0,0,,,1,0,1,1,1,1,1,1,0,0,0,0,,,,0,0,,,1,,0,0,,1,,0,0,0,1,,,,,1,,,,,,1,1,,1,,,,,1,1,1,,0,0,,,0,,,,,,,,0,0,1,,,0,1,1,1,1,,,,,,,,1,,1,,1,0,,,,1,1,,,1,1,,,0,2,0,0,1,2,,,,,,,1,0,0,1,1,0,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yle,Yele,0,0,0,0,2,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,,,,,,,0,0,0,,0,1,0,1,,0,0,0,1,1,1,1,1,,,0,1,1,0,0,0,1,1,0,,1,1,0,1,1,0,0,1,0,,0,1,,,1,1,0,0,,,0,0,0,1,1,1,1,1
trr,Taushiro,0,0,1,0,3,,,1,0,0,0,,,,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,,,1,,,,,0,1,,0,2,1,0,0,1,1,1,0,0,1,,,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,,,,1,0,0,0,0,0,0,0,,,,,,,0,1,0,,0,0,0,,0,0,0,1,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,,1,,,,0,0,,,,0,0,1,0,,,0,1,1,0,1,,,1
tqu,Touo,1,,1,0,1,1,,,1,1,1,0,0,0,0,,0,1,1,1,,,,,1,,1,0,,,1,1,,,0,0,0,,0,1,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,,,1,0,,0,0,0,0,1,0,1,0,,,,1,0,0,1,0,0,1,1,,,1,0,0,0,0,,,0,1,0,0,,0,1,0,0,0,,,,1,1,0,,1,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,0,1,,,,0,0,0,0,0,,,,,,,,,,,,1,,0,0,0,,,,0,0,1,,,,0,0,0,0,1,1,1,
bxe,Ongota,,0,0,,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,1,1,0,0,0,0,,3,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,,,1,0,0,,,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,,1,0,0,0,,,1,0,,,,0,0,,0,0,0,0,0,1,0,1,,0,1,0,0,0,2,,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,,0,0,,0,0,,1,1,,1,1,0,0,0,0,0,0,0,0,,,0,0,1,1,0,0,0,0,,0,,0,1,,0,1,1,0,0,0,,,0,0,1,0,0,0,0,1
